"China","Rússia","Irã","Países Baixos (Holanda)","Turquia","Espanha","Coreia do Sul","Argentina","Tailândia","Japão","Vietnã","Paquistão","Argélia","Taiwan (Formosa)","Noruega","Reino Unido","México","Itália","Arábia Saudita","Bangladesh","Bélgica","Portugal","Grécia","Romênia","Tunísia","França","Egito","Moçambique","Israel","Malásia","Indonésia","Líbano","Jordânia","Filipinas","Emirados Árabes Unidos","Estados Unidos","Virgens, Ilhas (Britânicas)","Paraguai","Suíça","Colômbia","Angola","Venezuela","Guiana","África do Sul","Nicarágua","Uruguai","Libéria","Singapura","Marshall, Ilhas","Hong Kong","Panamá","Tanzânia","Malta","Dinamarca","Canadá","Ucrânia","Cayman, Ilhas","Alemanha","Gana","Serra Leoa","Finlândia","Chile","Peru","Bolívia","Marrocos","Irlanda","Afeganistão","Senegal","Sudão","Chipre","Áustria","Turcas e Caicos, Ilhas","República Dominicana","Camboja","Bahamas","Barein","Porto Rico","Eslovênia","Eslováquia","Mianmar","Nigéria","Benin","Uganda","Nepal","Índia","Maurício","Bósnia-Herzegovina","Congo","Gâmbia","Cuba","Congo, República Democrática","Guiné Equatorial","Suriname"
167318446,NA,0,4608493,0,562047,1618838,0,8572950,0,0,0,NA,12418725,NA,0,NA,0,5371271,0,NA,0,NA,NA,NA,NA,1807959,NA,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1320067451,0,5225294,323168,8371157,0,38042943,NA,65793537,1757669,4861887,14714148,0,25914144,0,0,0,0,NA,0,NA,0,107519,628382,NA,2982240,8274544,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,21292582,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484856105,NA,1885819,0,0,5908650,5256700,NA,10367580,3269292,1090378,8069688,0,10460690,0,0,NA,0,NA,0,NA,NA,1391880,9157352,NA,NA,5288934,NA,0,14711040,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,147365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
452333831,NA,17448245,32187681,NA,1592533,15433886,NA,56928728,0,0,0,NA,16466430,0,0,NA,1507104,0,1351966,0,0,NA,NA,NA,NA,9197096,NA,NA,981619,NA,NA,NA,71362,NA,NA,NA,NA,NA,NA,NA,NA,NA,186538,NA,NA,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
403380986,41241313,0,53994738,0,14435876,215991,NA,4594350,74131008,0,0,0,600750,NA,0,NA,0,0,0,0,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16629418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
816291478,NA,0,10074000,0,12423798,NA,0,620601,0,9805471,0,NA,2811473,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,NA,NA,0,NA,80124,NA,NA,NA,NA,NA,104700,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
556568005,26221657,8212491,22381868,2561430,43014919,23093808,NA,31916684,11109258,0,0,0,29931248,NA,306894,0,1575806,4500907,0,0,21607042,0,0,371259,394386,302142,NA,2846736,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,78800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232481783,0,892317,4518036,0,17051943,18807454,NA,17158457,650230,659345,107950,0,5702117,0,2452082,0,184671,5043816,0,0,9065760,0,0,0,3938209,8700793,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9550754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31531931,NA,5476176,216159,0,0,5077738,NA,0,0,0,0,0,400158,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
611585101,NA,50074101,NA,0,50207166,NA,0,1839616,NA,83817766,0,NA,13387137,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145947568,11929361,0,3535183,0,940249,1781497,16928,19446568,268358,0,0,0,737219,NA,598035,NA,0,1236171,0,0,0,0,NA,NA,0,4925954,NA,0,0,NA,NA,NA,NA,0,0,0,188,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244697739,NA,0,12794331,0,61868745,4038363,NA,7181046,0,0,0,0,17676433,NA,14594139,0,609264,9936432,0,0,0,NA,0,2833693,3922134,11998021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8245268,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,659307,NA,NA,NA,NA,NA,NA,NA,NA,166776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
